value
1617
1608
1606
1607
1607
2270
1948
2065
2064
2060
2062
2062
2062
2063
2061
2060
2061
2061
2063
2064
2064
2061
2061
2059
2063
2063
2060
2070
2065
2066
2068
2067
2067
2069
2069
2065
2068
2066
2073
2074
2068
2070
2064
2069
2069
2067
2064
2068
2263
2262
2266
2267
2288
2286
2288
2288
2285
2285
2288
2511
2510
2502
2500
2481
2474
2467
2465
2462
2439
2440
2437
2441
2435
2430
2434
2438
2430
2429
2428
2442
2437
2436
2429
2423
2421
2414
2414
2408
2407
2392
2379
2369
2367
