value
3057
3066
3078
3084
3077
3938
3241
3119
3125
3106
3111
3108
3114
3103
3118
3107
3113
3109
3111
3106
3121
3111
3108
3107
3101
3108
3103
3117
3103
3104
3118
3102
3103
3111
3109
3123
3112
3112
3119
3110
3109
3106
3096
3101
3108
3099
3116
3100
