timestamp,value
timestamp_placeholder,632.22 hPa
timestamp_placeholder,987.445 hPa
timestamp_placeholder,987.437 hPa
timestamp_placeholder,987.429 hPa
timestamp_placeholder,987.419 hPa
timestamp_placeholder,987.414 hPa
timestamp_placeholder,987.41 hPa
timestamp_placeholder,987.418 hPa
timestamp_placeholder,987.43 hPa
timestamp_placeholder,987.431 hPa
timestamp_placeholder,987.428 hPa
timestamp_placeholder,987.429 hPa
